!,0,
aliamque,0,alius2
alienis,0,alienum
alienis,1,alienus
alienum,0,alienum
alienum,1,alienus
alii,0,alius2
alii,1,allium
aliis,0,alius2
aliis,1,allium
alio,0,alio
alio,1,alius2
alio,2,allium
aliorum,0,alius2
aliorum,1,allium
alios,0,alius2
aliquae,0,aliqui
aliquae,1,aliquis
aliquando,0,aliquando
aliquid,0,aliquis
aliquis,0,aliqui
aliquis,1,aliquis
aliquod,0,aliqui
aliquot,0,aliquot
aliud,0,alius2
alium,0,alius2
alium,1,allium
alius,0,alius2
allata,0,affero
allicit,0,allicio
alligant,0,alligo
alluserit,0,alludo
alta,0,alo
alta,1,alto
alta,2,altum
alta,3,altus1
alter,0,alter
alter,1,alto
alteram,0,alter
alteri,0,alter
alterius,0,alter
altero,0,alter
alticinctis,0,alticinctus
altiore,0,alo
altiore,1,altus1
altis,0,alo
altis,1,altum
altis,2,altus1
altius,0,alo
altius,1,altus1
altos,0,alo
altos,1,altus1
alueris,0,alo
alveolo,0,alveolus
alvi,0,alvus
alvos,0,alvus
amans,0,amo
amanti,0,amo
ambae,0,ambo
ambitio,0,ambitio
ambos,0,ambo
ambulando,0,ambulo
ament,0,amo
amentur,0,amo
amice,0,amicus
amice,1,amicus1
amice,2,amicus2
amici,0,amicio
amici,1,amicus
amici,2,amicus1
amici,3,amicus2
amicis,0,amica
amicis,1,amicio
amicis,2,amicus
amicis,3,amicus1
amicis,4,amicus2
amicos,0,amicus
amicos,1,amicus1
amicos,2,amicus2
amicus,0,amicus
amicus,1,amicus1
amicus,2,amicus2
amisi,0,amitto
amisit,0,amitto
amissa,0,amitto
amissi,0,amitto
amittit,0,amitto
amne,0,amnis
amorem,0,amor
amphoram,0,amphora
ampla,0,amplo
ampla,1,amplus
amplexus,0,amplector
amplexus,1,amplexus2
an,0,an
anacharsis,0,
ancillulam,0,ancillula
angulo,0,angulo
angulo,1,angulus
angustam,0,angustus
angusto,0,angusto
angusto,1,angustum
angusto,2,angustus
anhelans,0,anhelo
anima,0,anima
anima,1,animo
animadvertit,0,animadverto
animal,0,animal
animali,0,animal
animali,1,animalis
animam,0,anima
animi,0,animus
animo,0,animo
animo,1,animus
animosque,0,animus
animum,0,animus
animus,0,animus
annis,0,annus
annos,0,annus
ante,0,ante
antehac,0,antehac
antidoto,0,antidotum
antidotum,0,antidotum
antiqua,0,antiquo
antiqua,1,antiquum
antiqua,2,antiquus
antiqui,0,antiqui
antiqui,1,antiquum
antiqui,2,antiquus
antiquis,0,antiqui
antiquis,1,antiquum
antiquis,2,antiquus
antiquitas,0,antiquitas
anum,0,anus1
anum,1,anus2
anum,2,anus3
anus,0,anus1
anus,1,anus2
anus,2,anus3
aper,0,aper1
aperto,0,aperio
aperto,1,aperto
aperto,2,apertus
apertum,0,aperio
apertum,1,apertum
apertum,2,apertus
apes,0,apis1
apes,1,apo
apibus,0,apis1
apollinis,0,
apollo,0,
apothecam,0,apotheca
apparatu,0,apparatus2
apparatu,1,apparo
appareat,0,appareo
apparebunt,0,appareo
apparere,0,appareo
apparere,1,appario
apparere,2,apparo
appellari,0,appello
appellatum,0,appello
appendix,0,appendix
appetebat,0,appeto1
appetens,0,appeto1
appeterem,0,appeto1
appetit,0,appeto1
applicuit,0,applico
approba,0,approbo
approba,1,approbus
approbaret,0,approbo
approbavit,0,approbo
apro,0,aper1
aprum,0,aper1
aptare,0,apto
apud,0,apud
aqua,0,aqua
aquae,0,aqua
aquam,0,aqua
aquas,0,aqua
aquila,0,aquila1
aquila,1,aquilus
aquilae,0,aquila1
aquilae,1,aquilus
ara,0,ara
ara,1,aro
ara,2,aron
aranea,0,aranea
aranea,1,araneum
aranea,2,araneus2
aras,0,ara
aras,1,aro
arbitrio,0,arbitrium
arbitror,0,arbitror
arbore,0,arbor1
arborem,0,arbor1
arbores,0,arbor1
arca,0,arca
arcem,0,arx
arcum,0,arcus
arcum,1,arx
ardalionum,0,
ardentem,0,ardeo
arebat,0,areo
argenteam,0,argenteus1
argenti,0,argentum
argento,0,argentum
argentum,0,argentum
arguat,0,arguo
arguebat,0,arguo
arguis,0,arguo
arguitur,0,arguo
argumento,0,argumentum
argumentum,0,argumentum
argus,0,
argutiae,0,argutiae
arida,0,aridum
arida,1,aridus
arida,2,aris1
armillam,0,armilla
armis,0,arma
armis,1,armus
arripuit,0,arripio
arriserit,0,arrideo
arte,0,ars
arte,1,artum
arte,2,artus1
artifices,0,artifex
artior,0,artio1
artior,1,artio2
artior,2,artus1
artis,0,ars
artis,1,artio1
artis,2,artio2
artis,3,artum
artis,4,artus1
artium,0,ars
artium,1,artius
artos,0,artus1
artus,0,artus1
